@relation 'C:\\work\\data\\arff\\postwriteup\\aan3withauth.txt'

@attribute @@class@@ {n,p,o}
@attribute @@id@@ string
@attribute @@sentence@@ string
@attribute @@author@@ string
@attribute @@dependencies@@ string

@data
o,821,'Unfortunately , a counterexample illustrated in <OTH> shows that the max function does not produce valid kernels in general ',Pedersen,'advmod_illustrated_Unfortunately det_counterexample_a nsubj_illustrated_counterexample prep_illustrated_in amod_shows_<OTH> pobj_in_shows complm_produce_that det_function_the nn_function_max nsubj_produce_function aux_produce_does neg_produce_not ccomp_illustrated_produce amod_kernels_valid dobj_produce_kernels prep_produce_in pobj_in_general '
p,822,'1 Introduction When data have distinct sub-structures , models exploiting latent variables are advantageous in learning <CIT> ',Matsuzaki,'num_Introduction_1 nsubj_advantageous_Introduction advmod_have_When nsubj_have_data dep_Introduction_have amod_sub-structures_distinct dobj_have_sub-structures nsubj_exploiting_models dep_have_exploiting amod_variables_latent dobj_exploiting_variables cop_advantageous_are prep_advantageous_in pcomp_in_learning '
o,823,'2 Detecting Discourse-New Definite Descriptions 21 Vieira and Poesio Poesio and Vieira <OTH> carried out corpus studies indicating that in corpora like the Wall Street Journal portion of the Penn Treebank <CIT> , around 52 \% of DDs are discourse-new <OTH> , and another 15 \% or so are bridging references , for a total of about 66-67 \% firstmention ',Marcus,'num_Vieira_2 nn_Vieira_Detecting nn_Vieira_Discourse-New nn_Vieira_Definite nn_Vieira_Descriptions num_Vieira_21 nsubj_carried_Vieira cc_Vieira_and nn_Poesio_Poesio conj_Vieira_Poesio cc_Vieira_and nn_<OTH>_Vieira conj_Vieira_<OTH> prt_carried_out nn_studies_corpus dobj_carried_studies xcomp_carried_indicating dobj_indicating_that prep_that_in pobj_in_corpora prep_indicating_like det_portion_the nn_portion_Wall nn_portion_Street nn_portion_Journal pobj_like_portion prep_portion_of det_<CIT>_the nn_<CIT>_Penn nn_<CIT>_Treebank pobj_of_<CIT> prep_carried_around num_\%_52 pobj_around_\% prep_\%_of nn_discourse-new_DDs dep_discourse-new_are pobj_of_discourse-new num_discourse-new_<OTH> cc_carried_and dep_\%_another number_\%_15 nsubj_bridging_\% cc_\%_or conj_\%_so aux_bridging_are conj_carried_bridging dobj_bridging_references prep_bridging_for det_total_a pobj_for_total prep_total_of quantmod_66-67_about num_\%_66-67 pobj_of_\% partmod_\%_firstmention '
o,824,'The distinction between lexical and relational similarity for word pair comparison is recognized by <CIT> -LRB- hecallstheformer attributional similarity -RRB- , though the methods he presents focus on relational similarity ',Turney,'det_distinction_The nsubjpass_recognized_distinction prep_distinction_between amod_similarity_lexical cc_lexical_and conj_lexical_relational pobj_between_similarity prep_similarity_for nn_comparison_word nn_comparison_pair pobj_for_comparison auxpass_recognized_is prep_recognized_by pobj_by_<CIT> amod_similarity_hecallstheformer amod_similarity_attributional appos_<CIT>_similarity advmod_<CIT>_though det_methods_the dep_<CIT>_methods nsubj_presents_he dep_recognized_presents dobj_presents_focus prep_focus_on amod_similarity_relational pobj_on_similarity '
o,825,'The POS disambiguation has usually been performed by statistical approaches mainly using hidden markov model -LRB- HMM -RRB- -LRB- <CIT> et al , 1992 ; Kupiec ',Cutting,'det_disambiguation_The dep_disambiguation_POS nsubjpass_performed_disambiguation aux_performed_has advmod_performed_usually auxpass_performed_been prep_performed_by amod_approaches_statistical pobj_by_approaches advmod_using_mainly partmod_approaches_using amod_model_hidden amod_model_markov dobj_using_model abbrev_model_HMM dep_model_<CIT> cc_<CIT>_et conj_<CIT>_al dep_<CIT>_1992 dep_approaches_Kupiec '
o,826,'As a baseline model we used a maximum entropy tagger , very similar to the one described in <CIT> ',Ratnaparkhi,'prep_used_As det_model_a nn_model_baseline pobj_As_model nsubj_used_we det_tagger_a amod_tagger_maximum nn_tagger_entropy dobj_used_tagger advmod_similar_very dep_used_similar prep_similar_to det_one_the pobj_to_one partmod_one_described prep_described_in '
o,827,'We assign tags of part-of-speech -LRB- POS -RRB- to the words with MXPOST that adopts the Penn Treebank tag set <CIT> ',Ratnaparkhi,'nsubj_assign_We dobj_assign_tags prep_tags_of pobj_of_part-of-speech appos_part-of-speech_POS prep_assign_to det_words_the pobj_to_words prep_words_with pobj_with_MXPOST nsubj_adopts_that rcmod_words_adopts det_tag_the nn_tag_Penn nn_tag_Treebank nsubj_set_tag ccomp_adopts_set '
o,828,'Such coarse-grained inventories can be produced manually from scratch <OTH> or by automatically relating <OTH> or clustering <CIT> existing word senses ',Navigli,'amod_inventories_Such amod_inventories_coarse-grained nsubjpass_produced_inventories aux_produced_can auxpass_produced_be advmod_produced_manually prep_produced_from nn_<OTH>_scratch pobj_from_<OTH> cc_from_or conj_from_by advmod_relating_automatically pcomp_by_relating dobj_relating_<OTH> cc_<OTH>_or amod_senses_clustering nn_senses_<CIT> amod_senses_existing nn_senses_word conj_<OTH>_senses '
o,829,'Given a contextual word cw that occurs in the paragraphs of bc , a log-likelihood ratio -LRB- G2 -RRB- test is employed <CIT> , which checks if the distribution of cw in bc is similar to the distribution of cw in rc ; p -LRB- cw bc -RRB- = p -LRB- cw rc -RRB- -LRB- null hypothesis -RRB- ',Dunning,'prep_employed_Given det_cw_a amod_cw_contextual nn_cw_word dep_Given_cw nsubj_occurs_that rcmod_cw_occurs prep_occurs_in det_paragraphs_the pobj_in_paragraphs prep_paragraphs_of pobj_of_bc det_ratio_a amod_ratio_log-likelihood appos_bc_ratio appos_bc_G2 dep_bc_test auxpass_employed_is nsubjpass_employed_<CIT> nsubj_checks_which rcmod_<CIT>_checks mark_similar_if det_distribution_the nsubj_similar_distribution prep_distribution_of pobj_of_cw prep_cw_in pobj_in_bc cop_similar_is advcl_checks_similar prep_similar_to det_distribution_the pobj_to_distribution prep_distribution_of pobj_of_cw prep_cw_in pobj_in_rc dep_cw_p nn_bc_cw nsubj_p_bc dep_p_= ccomp_p_p nn_rc_cw appos_cw_rc amod_hypothesis_null appos_cw_hypothesis '
o,830,'In this paper we use the so-called Model 4 from <CIT> ',Brown,'prep_use_In det_paper_this pobj_In_paper nsubj_use_we det_4_the amod_4_so-called number_4_Model dobj_use_4 prep_use_from '
o,831,'We would expect the opposite effect with hand-aligned data <CIT> ',Galley,'nsubj_expect_We aux_expect_would det_effect_the amod_effect_opposite dobj_expect_effect prep_expect_with amod_data_hand-aligned pobj_with_data '
o,832,'Extensions to Hiero Several authors describe extensions to Hiero , to incorporate additional syntactic information <CIT> , or to combine it with discriminative latent models <OTH> ',Zhang,'nsubj_describe_Extensions prep_Extensions_to nn_authors_Hiero amod_authors_Several pobj_to_authors dobj_describe_extensions prep_describe_to pobj_to_Hiero aux_incorporate_to dep_describe_incorporate amod_<CIT>_additional amod_<CIT>_syntactic nn_<CIT>_information dobj_incorporate_<CIT> cc_incorporate_or aux_combine_to conj_incorporate_combine dobj_combine_it prep_combine_with amod_<OTH>_discriminative amod_<OTH>_latent nn_<OTH>_models pobj_with_<OTH> '
o,833,'The other form of hybridization ? ? a statistical MT model that is based on a deeper analysis of the syntactic 33 structure of a sentence ? ? has also long been identified as a desirable objective in principle -LRB- consider <CIT> -RRB- ',Wu,'det_form_The amod_form_other dep_?_form prep_form_of pobj_of_hybridization det_MT_a amod_MT_statistical nsubjpass_identified_model nsubjpass_based_that auxpass_based_is dep_model_based prep_based_on det_analysis_a amod_analysis_deeper pobj_on_analysis prep_analysis_of det_structure_the amod_structure_syntactic tmod_syntactic_33 pobj_of_structure prep_structure_of det_sentence_a pobj_of_sentence aux_identified_has advmod_identified_also advmod_identified_long auxpass_identified_been rcmod_MT_identified prep_identified_as det_objective_a amod_objective_desirable pobj_as_objective prep_MT_in pobj_in_principle dep_principle_consider acomp_consider_<CIT> '
o,834,'272 Similarity-based estimation was first used for language modeling in the cooccurrence smoothing method of Essen and Steinbiss <OTH> , derived from work on acoustic model smoothing by Sugawara et al ',Brown,'amod_estimation_272 amod_estimation_Similarity-based nsubjpass_used_estimation auxpass_used_was advmod_used_first prep_used_for nn_modeling_language pobj_for_modeling prep_used_in det_method_the amod_method_cooccurrence amod_method_smoothing pobj_in_method prep_method_of nn_<OTH>_Essen cc_Essen_and conj_Essen_Steinbiss pobj_of_<OTH> partmod_method_derived prep_derived_from pobj_from_work prep_derived_on amod_model_acoustic pobj_on_model partmod_model_smoothing prep_smoothing_by pobj_by_Sugawara cc_Sugawara_et conj_Sugawara_al '
o,835,'Following the setup in <CIT> , we initialize the transition and emission distributions to be uniform with a small amount of noise , and run EM and VB for 1000 iterations ',Johnson,'prep_initialize_Following det_setup_the pobj_Following_setup prep_setup_in pobj_in_<CIT> nsubj_initialize_we det_distributions_the nn_distributions_transition cc_transition_and conj_transition_emission nsubj_uniform_distributions aux_uniform_to cop_uniform_be xcomp_initialize_uniform prep_uniform_with det_amount_a amod_amount_small pobj_with_amount prep_amount_of pobj_of_noise cc_uniform_and conj_uniform_run dobj_run_EM cc_EM_and conj_EM_VB prep_run_for num_iterations_1000 pobj_for_iterations '
o,836,'Our method uses assumptions similar to <CIT> et al 1996 but is naturally suitable for distributed parallel computations ',Berger,'poss_method_Our nsubj_uses_method dobj_uses_assumptions amod_assumptions_similar prep_similar_to pobj_to_<CIT> cc_<CIT>_et conj_<CIT>_al tmod_similar_1996 cc_uses_but cop_suitable_is advmod_suitable_naturally conj_uses_suitable prep_suitable_for amod_computations_distributed amod_computations_parallel pobj_for_computations '
o,837,'The agreement on identifying the boundaries of units , using the statistic discussed in <CIT> , was = 9 -LRB- for two annotators and 500 units -RRB- ; the agreement on features -LRB- 2 annotators and at least 200 units -RRB- was as follows : UTYPE : = 76 ; VERBED : = 9 ; FINITE : = 81 ',Carletta,'det_agreement_The prep_agreement_on pcomp_on_identifying det_boundaries_the dobj_identifying_boundaries prep_boundaries_of pobj_of_units dep_identifying_using det_statistic_the dobj_using_statistic dep_agreement_discussed prep_discussed_in pobj_in_<CIT> aux_=_was dep_<CIT>_= dobj_=_9 dep_discussed_for num_annotators_two pobj_for_annotators cc_annotators_and num_units_500 conj_annotators_units det_agreement_the nsubj_was_agreement prep_agreement_on pobj_on_features dep_features_2 dep_2_annotators cc_annotators_and quantmod_200_at dep_at_least num_units_200 conj_annotators_units parataxis_discussed_was mark_follows_as advcl_was_follows parataxis_discussed_UTYPE dep_UTYPE_= dobj_=_76 parataxis_discussed_VERBED parataxis_discussed_= dobj_=_9 parataxis_discussed_FINITE dep_FINITE_= dobj_=_81 '
n,838,'Hanks and <CIT> proposed using pointwise mutual information to identify collocations in lexicography ; however , the method may result in unacceptable collocations for low-count pairs ',Church,'nsubj_proposed_Hanks cc_Hanks_and conj_Hanks_<CIT> xcomp_proposed_using amod_information_pointwise amod_information_mutual dobj_using_information aux_identify_to xcomp_using_identify dobj_identify_collocations prep_identify_in pobj_in_lexicography advmod_result_however det_method_the nsubj_result_method aux_result_may parataxis_proposed_result prep_result_in amod_collocations_unacceptable pobj_in_collocations prep_collocations_for amod_pairs_low-count pobj_for_pairs '
o,839,'In comparison we introduce 28 several metrics coefficients reported in Albrecht and Hwa <OTH> including smoothed BLEU <OTH> , METEOR <OTH> , HWCM <CIT> , and the metric proposed in Albrecht and Hwa <OTH> using the full feature set ',Liu,'prep_reported_In pobj_In_comparison nsubj_introduce_we rcmod_comparison_introduce num_coefficients_28 amod_coefficients_several nn_coefficients_metrics dobj_introduce_coefficients prep_reported_in pobj_in_Albrecht cc_Albrecht_and conj_Albrecht_Hwa nsubj_reported_<OTH> prep_<OTH>_including nn_<OTH>_smoothed nn_<OTH>_BLEU pobj_including_<OTH> nn_<OTH>_METEOR conj_<OTH>_<OTH> nn_<CIT>_HWCM conj_<OTH>_<CIT> cc_<OTH>_and det_metric_the conj_<OTH>_metric amod_metric_proposed prep_metric_in pobj_in_Albrecht cc_<OTH>_and nn_<OTH>_Hwa conj_<OTH>_<OTH> partmod_<OTH>_using det_set_the amod_set_full nn_set_feature dobj_using_set '
o,840,'This is one manifestation of what is commonly referred to as the data sparseness problem , and was discussed by <CIT> as a side-effect of specificity ',Rapp,'nsubj_manifestation_This cop_manifestation_is num_manifestation_one prep_manifestation_of nsubjpass_referred_what auxpass_referred_is advmod_referred_commonly pcomp_of_referred prep_referred_to mark_sparseness_as det_data_the nsubjpass_sparseness_data pcomp_to_sparseness dobj_sparseness_problem cc_sparseness_and auxpass_discussed_was conj_sparseness_discussed prep_discussed_by pobj_by_<CIT> prep_discussed_as det_side-effect_a pobj_as_side-effect prep_side-effect_of pobj_of_specificity '
o,841,'Techniques for weakening the independence assumptions made by the IBM models 1 and 2 have been proposed in recent work <CIT> ',Berger,'nsubj_made_Techniques prep_Techniques_for pcomp_for_weakening det_assumptions_the nn_assumptions_independence dobj_weakening_assumptions prep_made_by det_models_the nn_models_IBM pobj_by_models nsubjpass_proposed_1 cc_1_and conj_1_2 aux_proposed_have auxpass_proposed_been dep_made_proposed prep_proposed_in amod_work_recent pobj_in_work '
o,842,'C3BTC5 and CCCDCA were used in <OTH> and <CIT> , respectively ',Turney,'nsubjpass_used_C3BTC5 cc_C3BTC5_and conj_C3BTC5_CCCDCA auxpass_used_were prep_used_in pobj_in_<OTH> cc_<OTH>_and conj_<OTH>_<CIT> advmod_used_respectively '
o,843,'In this work we will use structured linear classifiers <CIT> ',Collins,'prep_use_In det_work_this pobj_In_work nsubj_use_we aux_use_will amod_classifiers_structured amod_classifiers_linear dobj_use_classifiers '
